timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:25.518, 0 %, 0 MiB
2022/01/04 14:45:26.531, 0 %, 0 MiB
2022/01/04 14:45:27.545, 0 %, 0 MiB
2022/01/04 14:45:28.558, 0 %, 0 MiB
2022/01/04 14:45:29.571, 0 %, 0 MiB
2022/01/04 14:45:30.584, 0 %, 0 MiB
2022/01/04 14:45:31.716, 0 %, 0 MiB
2022/01/04 14:45:32.729, 0 %, 0 MiB
2022/01/04 14:45:33.742, 0 %, 0 MiB
2022/01/04 14:45:34.756, 0 %, 0 MiB
2022/01/04 14:45:35.769, 0 %, 0 MiB
2022/01/04 14:45:36.783, 0 %, 0 MiB
2022/01/04 14:45:37.796, 0 %, 0 MiB
2022/01/04 14:45:38.809, 0 %, 0 MiB
2022/01/04 14:45:39.824, 0 %, 0 MiB
2022/01/04 14:45:40.838, 0 %, 0 MiB
2022/01/04 14:45:41.852, 0 %, 0 MiB
2022/01/04 14:45:42.865, 0 %, 0 MiB
2022/01/04 14:45:43.879, 0 %, 0 MiB
2022/01/04 14:45:44.893, 0 %, 0 MiB
2022/01/04 14:45:45.906, 0 %, 0 MiB
2022/01/04 14:45:46.919, 0 %, 0 MiB
2022/01/04 14:45:47.932, 0 %, 0 MiB
2022/01/04 14:45:48.947, 0 %, 0 MiB
2022/01/04 14:45:49.960, 0 %, 0 MiB
2022/01/04 14:45:50.973, 0 %, 0 MiB
2022/01/04 14:45:51.986, 0 %, 0 MiB
2022/01/04 14:45:53.000, 0 %, 0 MiB
2022/01/04 14:45:54.013, 0 %, 0 MiB
2022/01/04 14:45:55.148, 0 %, 0 MiB
2022/01/04 14:45:56.162, 0 %, 0 MiB
2022/01/04 14:45:57.175, 0 %, 0 MiB
2022/01/04 14:45:58.189, 0 %, 0 MiB
2022/01/04 14:45:59.203, 0 %, 0 MiB
2022/01/04 14:46:00.216, 0 %, 0 MiB
2022/01/04 14:46:01.229, 0 %, 0 MiB
2022/01/04 14:46:02.242, 0 %, 0 MiB
2022/01/04 14:46:03.255, 0 %, 0 MiB
2022/01/04 14:46:04.270, 0 %, 0 MiB
2022/01/04 14:46:05.283, 0 %, 0 MiB
2022/01/04 14:46:06.297, 0 %, 0 MiB
2022/01/04 14:46:07.310, 0 %, 0 MiB
2022/01/04 14:46:08.323, 0 %, 0 MiB
2022/01/04 14:46:09.337, 0 %, 0 MiB
2022/01/04 14:46:10.465, 0 %, 0 MiB
2022/01/04 14:46:11.478, 0 %, 0 MiB
2022/01/04 14:46:12.492, 0 %, 0 MiB
2022/01/04 14:46:13.505, 0 %, 0 MiB
2022/01/04 14:46:14.518, 0 %, 0 MiB
2022/01/04 14:46:15.532, 0 %, 0 MiB
2022/01/04 14:46:16.544, 0 %, 0 MiB
2022/01/04 14:46:17.558, 0 %, 0 MiB
2022/01/04 14:46:18.572, 0 %, 0 MiB
2022/01/04 14:46:20.475, 0 %, 0 MiB
2022/01/04 14:46:21.489, 0 %, 0 MiB
2022/01/04 14:46:22.504, 47 %, 3722 MiB
2022/01/04 14:46:23.518, 59 %, 6864 MiB
2022/01/04 14:46:24.532, 49 %, 9788 MiB
2022/01/04 14:46:25.551, 49 %, 12722 MiB
2022/01/04 14:46:26.566, 75 %, 13114 MiB
2022/01/04 14:46:27.581, 76 %, 13114 MiB
2022/01/04 14:46:28.597, 74 %, 13114 MiB
2022/01/04 14:46:29.613, 74 %, 13114 MiB
2022/01/04 14:46:30.629, 75 %, 13114 MiB
2022/01/04 14:46:31.644, 76 %, 13114 MiB
2022/01/04 14:46:32.659, 75 %, 13114 MiB
2022/01/04 14:46:33.673, 75 %, 13114 MiB
2022/01/04 14:46:34.688, 76 %, 13114 MiB
2022/01/04 14:46:35.704, 76 %, 13114 MiB
2022/01/04 14:46:36.720, 74 %, 13114 MiB
2022/01/04 14:46:37.735, 53 %, 13090 MiB
2022/01/04 14:46:38.751, 0 %, 0 MiB
2022/01/04 14:46:39.765, 6 %, 882 MiB
2022/01/04 14:46:40.778, 5 %, 1366 MiB
2022/01/04 14:46:41.792, 15 %, 1876 MiB
2022/01/04 14:46:42.805, 5 %, 1876 MiB
2022/01/04 14:46:43.818, 5 %, 1876 MiB
2022/01/04 14:46:44.832, 5 %, 1876 MiB
2022/01/04 14:46:45.845, 5 %, 1876 MiB
2022/01/04 14:46:46.858, 5 %, 1876 MiB
2022/01/04 14:46:47.872, 5 %, 1876 MiB
2022/01/04 14:46:48.885, 5 %, 1876 MiB
2022/01/04 14:46:49.898, 5 %, 1876 MiB
2022/01/04 14:46:50.912, 5 %, 1876 MiB
2022/01/04 14:46:51.925, 5 %, 1876 MiB
2022/01/04 14:46:52.992, 0 %, 0 MiB
2022/01/04 14:46:54.005, 0 %, 0 MiB
2022/01/04 14:46:55.019, 0 %, 0 MiB
2022/01/04 14:46:56.033, 0 %, 0 MiB
2022/01/04 14:46:57.046, 0 %, 0 MiB
2022/01/04 14:46:58.060, 0 %, 0 MiB
2022/01/04 14:46:59.073, 0 %, 0 MiB
2022/01/04 14:47:00.086, 0 %, 0 MiB
2022/01/04 14:47:01.100, 0 %, 0 MiB
2022/01/04 14:47:02.113, 0 %, 0 MiB
2022/01/04 14:47:03.127, 0 %, 0 MiB
2022/01/04 14:47:04.140, 0 %, 0 MiB
2022/01/04 14:47:05.154, 0 %, 0 MiB
2022/01/04 14:47:06.167, 0 %, 0 MiB
2022/01/04 14:47:07.180, 0 %, 0 MiB
2022/01/04 14:47:08.194, 0 %, 0 MiB
2022/01/04 14:47:09.207, 0 %, 0 MiB
2022/01/04 14:47:10.221, 0 %, 0 MiB
2022/01/04 14:47:11.234, 0 %, 0 MiB
2022/01/04 14:47:12.248, 0 %, 0 MiB
2022/01/04 14:47:13.261, 0 %, 0 MiB
2022/01/04 14:47:14.274, 0 %, 0 MiB
2022/01/04 14:47:15.288, 0 %, 0 MiB
2022/01/04 14:47:16.302, 0 %, 0 MiB
2022/01/04 14:47:17.315, 0 %, 0 MiB
2022/01/04 14:47:18.329, 0 %, 0 MiB
2022/01/04 14:47:19.343, 0 %, 0 MiB
2022/01/04 14:47:20.356, 0 %, 0 MiB
2022/01/04 14:47:21.369, 0 %, 0 MiB
2022/01/04 14:47:22.382, 0 %, 0 MiB
2022/01/04 14:47:23.395, 0 %, 0 MiB
2022/01/04 14:47:24.409, 0 %, 0 MiB
2022/01/04 14:47:25.423, 0 %, 0 MiB
2022/01/04 14:47:26.436, 0 %, 0 MiB
2022/01/04 14:47:27.450, 0 %, 0 MiB
2022/01/04 14:47:28.464, 0 %, 0 MiB
2022/01/04 14:47:29.476, 0 %, 0 MiB
2022/01/04 14:47:30.490, 0 %, 0 MiB
2022/01/04 14:47:31.504, 0 %, 0 MiB
2022/01/04 14:47:32.517, 0 %, 0 MiB
2022/01/04 14:47:33.531, 0 %, 0 MiB
2022/01/04 14:47:34.545, 0 %, 0 MiB
2022/01/04 14:47:35.558, 0 %, 0 MiB
2022/01/04 14:47:36.571, 0 %, 0 MiB
