timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 15:44:45.924, 0 %, 0 MiB
2022/01/04 15:44:46.938, 0 %, 0 MiB
2022/01/04 15:44:47.951, 0 %, 0 MiB
2022/01/04 15:44:49.020, 0 %, 0 MiB
2022/01/04 15:44:50.033, 0 %, 0 MiB
2022/01/04 15:44:51.046, 0 %, 0 MiB
2022/01/04 15:44:52.059, 0 %, 0 MiB
2022/01/04 15:44:53.072, 0 %, 0 MiB
2022/01/04 15:44:54.085, 0 %, 0 MiB
2022/01/04 15:44:55.098, 0 %, 0 MiB
2022/01/04 15:44:56.110, 0 %, 0 MiB
2022/01/04 15:44:57.123, 0 %, 0 MiB
2022/01/04 15:44:58.136, 0 %, 0 MiB
2022/01/04 15:44:59.149, 0 %, 0 MiB
2022/01/04 15:45:00.162, 0 %, 0 MiB
2022/01/04 15:45:01.175, 0 %, 0 MiB
2022/01/04 15:45:02.188, 0 %, 0 MiB
2022/01/04 15:45:03.200, 0 %, 0 MiB
2022/01/04 15:45:04.213, 0 %, 0 MiB
2022/01/04 15:45:05.226, 0 %, 0 MiB
2022/01/04 15:45:06.239, 0 %, 0 MiB
2022/01/04 15:45:07.252, 0 %, 0 MiB
2022/01/04 15:45:08.264, 0 %, 0 MiB
2022/01/04 15:45:09.277, 0 %, 0 MiB
2022/01/04 15:45:10.290, 0 %, 0 MiB
2022/01/04 15:45:11.302, 0 %, 0 MiB
2022/01/04 15:45:12.315, 0 %, 0 MiB
2022/01/04 15:45:13.328, 0 %, 0 MiB
2022/01/04 15:45:14.341, 0 %, 0 MiB
2022/01/04 15:45:15.354, 0 %, 0 MiB
2022/01/04 15:45:16.367, 0 %, 0 MiB
2022/01/04 15:45:17.380, 0 %, 0 MiB
2022/01/04 15:45:18.393, 0 %, 0 MiB
2022/01/04 15:45:19.407, 0 %, 0 MiB
2022/01/04 15:45:20.419, 0 %, 0 MiB
2022/01/04 15:45:21.434, 0 %, 0 MiB
2022/01/04 15:45:22.447, 0 %, 0 MiB
2022/01/04 15:45:23.460, 0 %, 0 MiB
2022/01/04 15:45:24.473, 0 %, 0 MiB
2022/01/04 15:45:25.485, 0 %, 0 MiB
2022/01/04 15:45:26.503, 0 %, 0 MiB
2022/01/04 15:45:27.516, 0 %, 0 MiB
2022/01/04 15:45:28.529, 0 %, 0 MiB
2022/01/04 15:45:29.542, 0 %, 0 MiB
2022/01/04 15:45:30.555, 0 %, 0 MiB
2022/01/04 15:45:31.568, 0 %, 0 MiB
2022/01/04 15:45:32.581, 0 %, 0 MiB
2022/01/04 15:45:33.594, 0 %, 0 MiB
2022/01/04 15:45:34.607, 0 %, 0 MiB
2022/01/04 15:45:35.620, 0 %, 0 MiB
2022/01/04 15:45:36.668, 0 %, 0 MiB
2022/01/04 15:45:37.681, 0 %, 0 MiB
2022/01/04 15:45:38.699, 0 %, 0 MiB
2022/01/04 15:45:39.841, 0 %, 0 MiB
2022/01/04 15:45:40.854, 0 %, 0 MiB
2022/01/04 15:45:41.867, 0 %, 0 MiB
2022/01/04 15:45:42.882, 0 %, 0 MiB
2022/01/04 15:45:43.895, 0 %, 0 MiB
2022/01/04 15:45:44.908, 0 %, 0 MiB
2022/01/04 15:45:45.921, 0 %, 0 MiB
2022/01/04 15:45:46.934, 0 %, 0 MiB
2022/01/04 15:45:47.946, 0 %, 0 MiB
2022/01/04 15:45:48.959, 0 %, 0 MiB
2022/01/04 15:45:49.972, 0 %, 0 MiB
2022/01/04 15:45:50.985, 0 %, 0 MiB
2022/01/04 15:45:51.998, 0 %, 0 MiB
2022/01/04 15:45:53.012, 0 %, 0 MiB
2022/01/04 15:45:54.024, 0 %, 0 MiB
2022/01/04 15:45:55.038, 0 %, 0 MiB
2022/01/04 15:45:56.051, 0 %, 0 MiB
2022/01/04 15:45:57.064, 0 %, 504 MiB
2022/01/04 15:45:58.077, 5 %, 1012 MiB
2022/01/04 15:45:59.090, 6 %, 1502 MiB
2022/01/04 15:46:00.103, 3 %, 1876 MiB
2022/01/04 15:46:01.116, 5 %, 1876 MiB
2022/01/04 15:46:02.129, 5 %, 1876 MiB
2022/01/04 15:46:03.142, 5 %, 1876 MiB
2022/01/04 15:46:04.154, 5 %, 1876 MiB
2022/01/04 15:46:05.168, 5 %, 1876 MiB
2022/01/04 15:46:06.180, 5 %, 1876 MiB
2022/01/04 15:46:07.193, 5 %, 1876 MiB
2022/01/04 15:46:08.206, 5 %, 1876 MiB
2022/01/04 15:46:09.219, 5 %, 1876 MiB
2022/01/04 15:46:10.232, 5 %, 1876 MiB
2022/01/04 15:46:11.245, 0 %, 0 MiB
2022/01/04 15:46:12.295, 0 %, 0 MiB
2022/01/04 15:46:13.309, 0 %, 0 MiB
2022/01/04 15:46:14.325, 0 %, 24 MiB
2022/01/04 15:46:15.339, 7 %, 984 MiB
2022/01/04 15:46:16.353, 4 %, 1478 MiB
2022/01/04 15:46:17.366, 3 %, 1876 MiB
2022/01/04 15:46:18.379, 5 %, 1876 MiB
2022/01/04 15:46:19.392, 5 %, 1876 MiB
2022/01/04 15:46:20.406, 5 %, 1876 MiB
2022/01/04 15:46:21.419, 5 %, 1876 MiB
2022/01/04 15:46:22.432, 5 %, 1876 MiB
2022/01/04 15:46:23.445, 5 %, 1876 MiB
2022/01/04 15:46:24.458, 5 %, 1876 MiB
2022/01/04 15:46:25.471, 5 %, 1876 MiB
2022/01/04 15:46:26.484, 5 %, 1876 MiB
2022/01/04 15:46:27.497, 5 %, 1876 MiB
2022/01/04 15:46:28.510, 3 %, 0 MiB
2022/01/04 15:46:29.523, 0 %, 0 MiB
2022/01/04 15:46:30.536, 6 %, 862 MiB
2022/01/04 15:46:31.549, 5 %, 1340 MiB
2022/01/04 15:46:32.563, 3 %, 1868 MiB
2022/01/04 15:46:33.578, 5 %, 1876 MiB
2022/01/04 15:46:34.592, 5 %, 1876 MiB
2022/01/04 15:46:35.606, 5 %, 1876 MiB
2022/01/04 15:46:36.619, 5 %, 1876 MiB
2022/01/04 15:46:37.632, 5 %, 1876 MiB
2022/01/04 15:46:38.645, 5 %, 1876 MiB
2022/01/04 15:46:39.658, 5 %, 1876 MiB
2022/01/04 15:46:40.671, 5 %, 1876 MiB
2022/01/04 15:46:41.684, 5 %, 1876 MiB
2022/01/04 15:46:42.696, 5 %, 1876 MiB
2022/01/04 15:46:43.710, 0 %, 0 MiB
2022/01/04 15:46:44.723, 0 %, 0 MiB
2022/01/04 15:46:45.736, 5 %, 834 MiB
2022/01/04 15:46:46.750, 5 %, 1380 MiB
2022/01/04 15:46:47.764, 5 %, 1854 MiB
