timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:24.263, 0 %, 0 MiB
2022/01/04 14:45:25.277, 0 %, 0 MiB
2022/01/04 14:45:26.291, 0 %, 0 MiB
2022/01/04 14:45:27.304, 0 %, 0 MiB
2022/01/04 14:45:28.316, 0 %, 0 MiB
2022/01/04 14:45:29.329, 0 %, 0 MiB
2022/01/04 14:45:30.343, 0 %, 0 MiB
2022/01/04 14:45:31.356, 0 %, 0 MiB
2022/01/04 14:45:32.368, 0 %, 0 MiB
2022/01/04 14:45:33.383, 0 %, 0 MiB
2022/01/04 14:45:34.396, 0 %, 0 MiB
2022/01/04 14:45:35.408, 0 %, 0 MiB
2022/01/04 14:45:36.422, 0 %, 0 MiB
2022/01/04 14:45:37.435, 0 %, 0 MiB
2022/01/04 14:45:38.448, 0 %, 0 MiB
2022/01/04 14:45:39.461, 0 %, 0 MiB
2022/01/04 14:45:40.474, 0 %, 0 MiB
2022/01/04 14:45:41.487, 0 %, 0 MiB
2022/01/04 14:45:42.500, 0 %, 0 MiB
2022/01/04 14:45:43.648, 0 %, 0 MiB
2022/01/04 14:45:44.661, 0 %, 0 MiB
2022/01/04 14:45:45.674, 0 %, 0 MiB
2022/01/04 14:45:46.687, 0 %, 0 MiB
2022/01/04 14:45:47.702, 0 %, 0 MiB
2022/01/04 14:45:48.715, 0 %, 0 MiB
2022/01/04 14:45:49.728, 0 %, 0 MiB
2022/01/04 14:45:50.741, 0 %, 0 MiB
2022/01/04 14:45:51.754, 0 %, 0 MiB
2022/01/04 14:45:52.767, 0 %, 0 MiB
2022/01/04 14:45:53.779, 0 %, 0 MiB
2022/01/04 14:45:54.793, 0 %, 0 MiB
2022/01/04 14:45:55.807, 0 %, 0 MiB
2022/01/04 14:45:56.820, 0 %, 0 MiB
2022/01/04 14:45:57.833, 0 %, 0 MiB
2022/01/04 14:45:58.846, 0 %, 0 MiB
2022/01/04 14:45:59.860, 0 %, 0 MiB
2022/01/04 14:46:00.873, 0 %, 0 MiB
2022/01/04 14:46:01.886, 0 %, 0 MiB
2022/01/04 14:46:02.900, 0 %, 0 MiB
2022/01/04 14:46:03.913, 0 %, 0 MiB
2022/01/04 14:46:04.926, 0 %, 0 MiB
2022/01/04 14:46:05.939, 0 %, 0 MiB
2022/01/04 14:46:06.953, 0 %, 0 MiB
2022/01/04 14:46:07.966, 0 %, 0 MiB
2022/01/04 14:46:08.979, 0 %, 0 MiB
2022/01/04 14:46:09.993, 0 %, 0 MiB
2022/01/04 14:46:11.005, 0 %, 0 MiB
2022/01/04 14:46:12.018, 0 %, 0 MiB
2022/01/04 14:46:13.032, 0 %, 0 MiB
2022/01/04 14:46:14.045, 0 %, 0 MiB
2022/01/04 14:46:15.058, 0 %, 0 MiB
2022/01/04 14:46:16.071, 0 %, 0 MiB
2022/01/04 14:46:17.084, 0 %, 0 MiB
2022/01/04 14:46:18.097, 0 %, 0 MiB
2022/01/04 14:46:19.458, 0 %, 0 MiB
2022/01/04 14:46:20.495, 0 %, 0 MiB
2022/01/04 14:46:21.508, 0 %, 0 MiB
2022/01/04 14:46:22.523, 92 %, 4383 MiB
2022/01/04 14:46:23.539, 63 %, 7851 MiB
