timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:57:14.073, 0 %, 0 MiB
2022/01/04 14:57:15.087, 0 %, 0 MiB
2022/01/04 14:57:16.100, 0 %, 0 MiB
2022/01/04 14:57:17.113, 0 %, 0 MiB
2022/01/04 14:57:18.255, 0 %, 0 MiB
2022/01/04 14:57:19.269, 0 %, 0 MiB
2022/01/04 14:57:20.283, 0 %, 0 MiB
2022/01/04 14:57:21.296, 0 %, 0 MiB
2022/01/04 14:57:22.309, 0 %, 0 MiB
2022/01/04 14:57:23.323, 0 %, 0 MiB
2022/01/04 14:57:24.336, 0 %, 0 MiB
2022/01/04 14:57:25.352, 0 %, 0 MiB
2022/01/04 14:57:26.365, 0 %, 0 MiB
2022/01/04 14:57:27.379, 0 %, 0 MiB
2022/01/04 14:57:28.392, 0 %, 0 MiB
2022/01/04 14:57:29.406, 0 %, 0 MiB
2022/01/04 14:57:30.419, 0 %, 0 MiB
2022/01/04 14:57:31.433, 0 %, 0 MiB
2022/01/04 14:57:32.446, 0 %, 0 MiB
2022/01/04 14:57:33.460, 0 %, 0 MiB
2022/01/04 14:57:34.473, 0 %, 0 MiB
2022/01/04 14:57:35.487, 0 %, 0 MiB
2022/01/04 14:57:36.500, 0 %, 0 MiB
2022/01/04 14:57:37.514, 0 %, 0 MiB
2022/01/04 14:57:38.527, 0 %, 0 MiB
2022/01/04 14:57:39.540, 0 %, 0 MiB
2022/01/04 14:57:40.554, 0 %, 0 MiB
2022/01/04 14:57:41.567, 0 %, 0 MiB
2022/01/04 14:57:42.581, 0 %, 0 MiB
2022/01/04 14:57:43.594, 0 %, 0 MiB
2022/01/04 14:57:44.608, 0 %, 0 MiB
2022/01/04 14:57:45.621, 0 %, 0 MiB
2022/01/04 14:57:46.635, 0 %, 0 MiB
2022/01/04 14:57:47.648, 0 %, 0 MiB
2022/01/04 14:57:48.662, 0 %, 0 MiB
2022/01/04 14:57:49.676, 0 %, 0 MiB
2022/01/04 14:57:50.690, 0 %, 0 MiB
2022/01/04 14:57:51.703, 0 %, 0 MiB
2022/01/04 14:57:52.717, 0 %, 0 MiB
2022/01/04 14:57:53.730, 0 %, 0 MiB
2022/01/04 14:57:54.745, 0 %, 0 MiB
2022/01/04 14:57:55.760, 0 %, 0 MiB
2022/01/04 14:57:56.773, 0 %, 0 MiB
2022/01/04 14:57:58.304, 0 %, 0 MiB
2022/01/04 14:57:59.318, 0 %, 0 MiB
2022/01/04 14:58:00.331, 0 %, 0 MiB
2022/01/04 14:58:01.345, 0 %, 0 MiB
2022/01/04 14:58:07.757, 0 %, 0 MiB
2022/01/04 14:58:08.772, 0 %, 0 MiB
2022/01/04 14:58:09.785, 0 %, 0 MiB
2022/01/04 14:58:10.799, 0 %, 0 MiB
2022/01/04 14:58:11.813, 0 %, 0 MiB
2022/01/04 14:58:12.827, 0 %, 0 MiB
2022/01/04 14:58:13.839, 0 %, 0 MiB
2022/01/04 14:58:14.853, 0 %, 0 MiB
2022/01/04 14:58:15.866, 0 %, 0 MiB
2022/01/04 14:58:16.880, 0 %, 0 MiB
2022/01/04 14:58:17.892, 0 %, 0 MiB
2022/01/04 14:58:18.906, 0 %, 0 MiB
2022/01/04 14:58:19.920, 0 %, 0 MiB
2022/01/04 14:58:20.933, 0 %, 0 MiB
2022/01/04 14:58:21.946, 0 %, 0 MiB
2022/01/04 14:58:22.959, 0 %, 0 MiB
2022/01/04 14:58:23.972, 0 %, 0 MiB
2022/01/04 14:58:24.986, 0 %, 0 MiB
2022/01/04 14:58:26.001, 92 %, 4767 MiB
2022/01/04 14:58:27.015, 60 %, 8197 MiB
2022/01/04 14:58:28.030, 57 %, 11519 MiB
2022/01/04 14:58:29.046, 65 %, 14637 MiB
2022/01/04 14:58:30.062, 85 %, 14987 MiB
2022/01/04 14:58:31.078, 87 %, 14987 MiB
2022/01/04 14:58:32.095, 85 %, 14987 MiB
2022/01/04 14:58:33.110, 85 %, 14987 MiB
2022/01/04 14:58:34.127, 86 %, 14987 MiB
2022/01/04 14:58:35.150, 86 %, 14987 MiB
2022/01/04 14:58:36.167, 86 %, 14987 MiB
2022/01/04 14:58:37.183, 86 %, 14987 MiB
2022/01/04 14:58:38.200, 86 %, 14987 MiB
2022/01/04 14:58:39.216, 84 %, 14987 MiB
2022/01/04 14:58:40.232, 85 %, 14987 MiB
2022/01/04 14:58:41.250, 70 %, 14963 MiB
2022/01/04 14:58:42.267, 39 %, 0 MiB
2022/01/04 14:58:43.282, 0 %, 0 MiB
2022/01/04 14:58:44.296, 0 %, 0 MiB
2022/01/04 14:58:45.309, 6 %, 817 MiB
2022/01/04 14:58:46.324, 57 %, 6223 MiB
2022/01/04 14:58:47.341, 52 %, 9587 MiB
2022/01/04 14:58:48.355, 56 %, 12721 MiB
2022/01/04 14:58:49.370, 55 %, 14987 MiB
2022/01/04 14:58:50.385, 87 %, 14987 MiB
2022/01/04 14:58:51.401, 84 %, 14987 MiB
2022/01/04 14:58:52.417, 86 %, 14987 MiB
2022/01/04 14:58:53.434, 83 %, 14987 MiB
2022/01/04 14:58:54.451, 85 %, 14987 MiB
2022/01/04 14:58:55.467, 88 %, 14987 MiB
2022/01/04 14:58:56.483, 86 %, 14987 MiB
2022/01/04 14:58:57.501, 86 %, 14987 MiB
2022/01/04 14:58:58.518, 85 %, 14987 MiB
2022/01/04 14:58:59.534, 86 %, 14987 MiB
2022/01/04 14:59:00.551, 85 %, 14987 MiB
2022/01/04 14:59:01.568, 40 %, 11193 MiB
2022/01/04 14:59:02.592, 0 %, 3 MiB
2022/01/04 14:59:03.606, 5 %, 978 MiB
2022/01/04 14:59:04.620, 45 %, 5099 MiB
2022/01/04 14:59:05.636, 61 %, 8947 MiB
2022/01/04 14:59:06.651, 58 %, 11923 MiB
2022/01/04 14:59:07.665, 58 %, 14359 MiB
2022/01/04 14:59:08.681, 81 %, 14987 MiB
2022/01/04 14:59:09.697, 85 %, 14987 MiB
2022/01/04 14:59:10.713, 86 %, 14987 MiB
2022/01/04 14:59:11.729, 83 %, 14987 MiB
2022/01/04 14:59:12.745, 85 %, 14987 MiB
2022/01/04 14:59:13.761, 85 %, 14987 MiB
2022/01/04 14:59:14.778, 85 %, 14987 MiB
2022/01/04 14:59:15.795, 85 %, 14987 MiB
