timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 15:27:13.887, 0 %, 0 MiB
2022/01/04 15:27:14.901, 0 %, 0 MiB
2022/01/04 15:27:15.915, 0 %, 0 MiB
2022/01/04 15:27:16.928, 0 %, 0 MiB
2022/01/04 15:27:18.064, 0 %, 0 MiB
2022/01/04 15:27:19.077, 0 %, 0 MiB
2022/01/04 15:27:20.091, 0 %, 0 MiB
2022/01/04 15:27:21.104, 0 %, 0 MiB
2022/01/04 15:27:22.117, 0 %, 0 MiB
2022/01/04 15:27:23.131, 0 %, 0 MiB
2022/01/04 15:27:24.144, 0 %, 0 MiB
2022/01/04 15:27:25.157, 0 %, 0 MiB
2022/01/04 15:27:26.299, 0 %, 0 MiB
2022/01/04 15:27:27.312, 0 %, 0 MiB
2022/01/04 15:27:28.327, 0 %, 0 MiB
2022/01/04 15:27:29.340, 0 %, 0 MiB
2022/01/04 15:27:30.353, 0 %, 0 MiB
2022/01/04 15:27:31.366, 0 %, 0 MiB
2022/01/04 15:27:32.379, 0 %, 0 MiB
2022/01/04 15:27:33.392, 0 %, 0 MiB
2022/01/04 15:27:34.405, 0 %, 0 MiB
2022/01/04 15:27:35.419, 0 %, 0 MiB
2022/01/04 15:27:36.432, 0 %, 0 MiB
2022/01/04 15:27:37.446, 0 %, 0 MiB
2022/01/04 15:27:38.459, 0 %, 0 MiB
2022/01/04 15:27:39.473, 0 %, 0 MiB
2022/01/04 15:27:40.486, 0 %, 0 MiB
2022/01/04 15:27:41.618, 0 %, 0 MiB
2022/01/04 15:27:42.632, 0 %, 0 MiB
2022/01/04 15:27:43.651, 0 %, 0 MiB
2022/01/04 15:27:44.664, 0 %, 0 MiB
2022/01/04 15:27:45.677, 0 %, 0 MiB
2022/01/04 15:27:46.690, 0 %, 0 MiB
2022/01/04 15:27:47.704, 0 %, 0 MiB
2022/01/04 15:27:48.717, 0 %, 0 MiB
2022/01/04 15:27:49.859, 0 %, 0 MiB
2022/01/04 15:27:50.873, 0 %, 0 MiB
2022/01/04 15:27:51.887, 0 %, 0 MiB
2022/01/04 15:27:52.900, 0 %, 0 MiB
2022/01/04 15:27:53.914, 0 %, 0 MiB
2022/01/04 15:27:54.927, 0 %, 0 MiB
2022/01/04 15:27:55.940, 0 %, 0 MiB
2022/01/04 15:27:56.953, 0 %, 0 MiB
2022/01/04 15:27:58.094, 0 %, 0 MiB
2022/01/04 15:27:59.108, 0 %, 0 MiB
2022/01/04 15:28:00.121, 0 %, 0 MiB
2022/01/04 15:28:01.134, 0 %, 0 MiB
2022/01/04 15:28:02.148, 0 %, 0 MiB
2022/01/04 15:28:03.161, 0 %, 0 MiB
2022/01/04 15:28:04.174, 0 %, 0 MiB
2022/01/04 15:28:05.187, 0 %, 0 MiB
2022/01/04 15:28:06.201, 0 %, 0 MiB
2022/01/04 15:28:07.215, 0 %, 0 MiB
2022/01/04 15:28:08.229, 0 %, 0 MiB
2022/01/04 15:28:09.243, 0 %, 0 MiB
2022/01/04 15:28:10.256, 0 %, 0 MiB
2022/01/04 15:28:11.269, 0 %, 0 MiB
2022/01/04 15:28:12.282, 0 %, 0 MiB
2022/01/04 15:28:13.295, 0 %, 0 MiB
2022/01/04 15:28:14.308, 0 %, 0 MiB
2022/01/04 15:28:15.322, 0 %, 0 MiB
2022/01/04 15:28:16.335, 0 %, 0 MiB
2022/01/04 15:28:17.355, 0 %, 0 MiB
2022/01/04 15:28:18.368, 0 %, 0 MiB
2022/01/04 15:28:19.539, 0 %, 0 MiB
2022/01/04 15:28:20.553, 0 %, 0 MiB
2022/01/04 15:28:21.566, 0 %, 0 MiB
2022/01/04 15:28:22.681, 0 %, 0 MiB
2022/01/04 15:28:23.694, 0 %, 0 MiB
2022/01/04 15:28:24.708, 0 %, 0 MiB
2022/01/04 15:28:25.721, 0 %, 0 MiB
2022/01/04 15:28:26.734, 0 %, 0 MiB
2022/01/04 15:28:27.787, 0 %, 0 MiB
2022/01/04 15:28:28.801, 0 %, 0 MiB
2022/01/04 15:28:29.814, 0 %, 0 MiB
2022/01/04 15:28:30.921, 0 %, 0 MiB
2022/01/04 15:28:31.934, 0 %, 0 MiB
2022/01/04 15:28:32.948, 0 %, 0 MiB
2022/01/04 15:28:33.961, 0 %, 0 MiB
2022/01/04 15:28:34.975, 0 %, 0 MiB
2022/01/04 15:28:35.988, 0 %, 0 MiB
2022/01/04 15:28:37.001, 0 %, 0 MiB
2022/01/04 15:28:38.015, 1 %, 929 MiB
2022/01/04 15:28:39.028, 18 %, 1951 MiB
2022/01/04 15:28:40.042, 15 %, 2903 MiB
2022/01/04 15:28:41.056, 15 %, 3727 MiB
2022/01/04 15:28:42.070, 28 %, 3749 MiB
2022/01/04 15:28:43.082, 31 %, 3749 MiB
2022/01/04 15:28:44.637, 33 %, 3749 MiB
2022/01/04 15:28:45.650, 27 %, 3749 MiB
2022/01/04 15:28:46.663, 34 %, 3749 MiB
2022/01/04 15:28:47.677, 28 %, 3749 MiB
2022/01/04 15:28:48.690, 32 %, 3749 MiB
2022/01/04 15:28:49.703, 33 %, 3749 MiB
2022/01/04 15:28:50.716, 28 %, 3749 MiB
2022/01/04 15:28:51.735, 31 %, 3749 MiB
2022/01/04 15:28:52.748, 26 %, 3749 MiB
2022/01/04 15:28:53.762, 1 %, 0 MiB
2022/01/04 15:28:54.789, 0 %, 0 MiB
2022/01/04 15:28:55.802, 0 %, 0 MiB
2022/01/04 15:28:56.823, 0 %, 0 MiB
2022/01/04 15:28:57.839, 3 %, 906 MiB
2022/01/04 15:28:58.852, 15 %, 2179 MiB
2022/01/04 15:28:59.866, 26 %, 3127 MiB
2022/01/04 15:29:00.879, 29 %, 3661 MiB
2022/01/04 15:29:01.893, 33 %, 3749 MiB
2022/01/04 15:29:02.906, 30 %, 3749 MiB
2022/01/04 15:29:03.919, 34 %, 3749 MiB
2022/01/04 15:29:04.932, 33 %, 3749 MiB
2022/01/04 15:29:05.946, 32 %, 3749 MiB
2022/01/04 15:29:06.959, 30 %, 3749 MiB
2022/01/04 15:29:07.972, 34 %, 3749 MiB
2022/01/04 15:29:08.985, 27 %, 3749 MiB
2022/01/04 15:29:09.999, 30 %, 3749 MiB
2022/01/04 15:29:11.012, 33 %, 3749 MiB
2022/01/04 15:29:12.026, 5 %, 3741 MiB
2022/01/04 15:29:13.041, 2 %, 1868 MiB
2022/01/04 15:29:14.054, 10 %, 558 MiB
2022/01/04 15:29:15.068, 16 %, 1593 MiB
2022/01/04 15:29:16.082, 17 %, 2625 MiB
2022/01/04 15:29:17.095, 24 %, 3399 MiB
2022/01/04 15:29:18.108, 26 %, 3749 MiB
2022/01/04 15:29:19.122, 32 %, 3749 MiB
2022/01/04 15:29:20.136, 33 %, 3749 MiB
2022/01/04 15:29:21.150, 35 %, 3749 MiB
2022/01/04 15:29:22.164, 30 %, 3749 MiB
2022/01/04 15:29:23.177, 29 %, 3749 MiB
2022/01/04 15:29:24.190, 32 %, 3749 MiB
2022/01/04 15:29:25.204, 36 %, 3749 MiB
2022/01/04 15:29:26.217, 33 %, 3749 MiB
2022/01/04 15:29:27.230, 30 %, 3749 MiB
2022/01/04 15:29:28.243, 34 %, 3749 MiB
2022/01/04 15:29:29.258, 5 %, 1876 MiB
2022/01/04 15:29:30.272, 49 %, 0 MiB
2022/01/04 15:29:31.286, 3 %, 584 MiB
2022/01/04 15:29:32.299, 20 %, 1851 MiB
2022/01/04 15:29:33.313, 15 %, 2807 MiB
2022/01/04 15:29:34.327, 18 %, 3569 MiB
2022/01/04 15:29:35.340, 28 %, 3749 MiB
2022/01/04 15:29:36.351, 33 %, 3749 MiB
2022/01/04 15:29:37.364, 31 %, 3749 MiB
2022/01/04 15:29:38.377, 27 %, 3749 MiB
2022/01/04 15:29:39.391, 24 %, 3749 MiB
2022/01/04 15:29:40.407, 30 %, 3749 MiB
2022/01/04 15:29:41.420, 27 %, 3749 MiB
2022/01/04 15:29:42.433, 30 %, 3749 MiB
2022/01/04 15:29:43.446, 28 %, 3749 MiB
2022/01/04 15:29:44.459, 30 %, 3749 MiB
2022/01/04 15:29:45.474, 30 %, 3749 MiB
2022/01/04 15:29:46.487, 10 %, 1876 MiB
2022/01/04 15:29:47.529, 0 %, 0 MiB
2022/01/04 15:29:48.543, 4 %, 742 MiB
2022/01/04 15:29:49.556, 19 %, 1881 MiB
2022/01/04 15:29:50.570, 18 %, 2849 MiB
2022/01/04 15:29:51.582, 21 %, 3503 MiB
2022/01/04 15:29:52.594, 33 %, 3749 MiB
2022/01/04 15:29:53.607, 32 %, 3749 MiB
2022/01/04 15:29:54.621, 31 %, 3749 MiB
2022/01/04 15:29:55.634, 29 %, 3749 MiB
2022/01/04 15:29:56.647, 30 %, 3749 MiB
2022/01/04 15:29:57.661, 34 %, 3749 MiB
2022/01/04 15:29:58.674, 32 %, 3749 MiB
2022/01/04 15:29:59.687, 27 %, 3749 MiB
2022/01/04 15:30:00.701, 34 %, 3749 MiB
2022/01/04 15:30:01.714, 31 %, 3749 MiB
2022/01/04 15:30:02.728, 28 %, 3749 MiB
2022/01/04 15:30:03.770, 6 %, 1876 MiB
2022/01/04 15:30:04.784, 10 %, 0 MiB
2022/01/04 15:30:05.798, 4 %, 652 MiB
2022/01/04 15:30:06.811, 17 %, 1885 MiB
2022/01/04 15:30:07.825, 26 %, 2835 MiB
